asin,brand,price,manufacturer,images
B0BLGC3HWH,LACOMCHIR Store,4.99,LACOMCHIR,"['https://m.media-amazon.com/images/I/51xld7zemCL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41lz-nzDgRL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41HsOsaBMXL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31Lqu4+P8jL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31N8hkbemCL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41dhfw1Lv9L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61t+nvdWEOL.SS40_SS522_.jpg']"
B0BMXJNR29,Boobeen,7.99,Boobeen,"['https://m.media-amazon.com/images/I/415mF8gqEJL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51QpQIHRYiL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31DEW8b8nWL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31AdFHCboBL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41bDJV7kI6L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51yyNr5tXvL._SS522_.jpg']"
B0975JLRFD,BOLUOYIN,4.98,BOLUOYIN,"['https://m.media-amazon.com/images/I/316xDYJQcpL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41p9nRzdOoL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/510Mn6VLoRL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/412GcBbJWmL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/514vz9hWqBL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41Mw-H9gRHL._SS522_.jpg']"
B0CFW21FY6,Tedercle Store,4.99,Tedercle,"['https://m.media-amazon.com/images/I/619183dJcjL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51pO2NfIBvL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51YE6fgAiiL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41DVJ-J2h9L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51K6Sn7KQKL._SS522_.jpg']"
B0BWT21ZXH,Kaely Store,6.99,Kaely,"['https://m.media-amazon.com/images/I/51mzJuoca-L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51n1S1zVznL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41EpfrhwX4L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/511jGomeUVL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/519rMIKr8+L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51-Vty0pHNL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/81ImV-wJP4L.SS40_SS522_.jpg']"
B078JFV35W,MAYBELLINE,,Maybelline New York,"['https://m.media-amazon.com/images/I/51t5ZTOHcPL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41t1cwO5--L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/313tZHt4KEL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/510Q2UDFSnL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51R0aYphdWL._SS522_.jpg']"
B01EXO2HNG,PremiumTT temporary tattoos,0.19,PremiumTT temporary tattoos,"['https://m.media-amazon.com/images/I/61gP5IK5EGL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61Gqeeuud7L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51zTaBELqpL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51ODEthU8qL._SS522_.jpg']"
B0C9GNX4W4,CAKAILA Store,6.99,CAKAILA,"['https://m.media-amazon.com/images/I/31+21xoZ-mL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51fmVcwG2zL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51mFo3-gi7L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51bGx8-zpVL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41LGNEewQPL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51GwIGSPKeL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61v0TELgs0L._SS522_.jpg']"
B0B8V6K11L,DELISOUL Store,4.99,DELISOUL,"['https://m.media-amazon.com/images/I/310iQzarwLL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41qWwN2ugVL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51yx+p-w35L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51u1AG0HgYL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41KsSvwBk-L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51sz4bi8EdL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41Cm-sTE1OL._SS522_.jpg']"
B0B4JSCHRY,meiliprotea Store,6.99,meiliprotea,"['https://m.media-amazon.com/images/I/61u8zviTrhL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61Zi9ltw8rL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/419Tx28-TuL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51swKw1wRUL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51OhsNoyzlL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51OPiZdGaTL._SS522_.jpg']"
B09V5R6MNS,COVERGIRL Store,,Coty Inc.,"['https://m.media-amazon.com/images/I/31aQB-oaK7L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/21w7UnQc9UL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/518-b69izmL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41KYKwIJGcL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41KzZabHXXL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41MGJUKeOjL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/81XtwM8bz5L.SS40_SS522_.jpg']"
B0CKMYQM6F,Eaureum Store,5.19,ECR,"['https://m.media-amazon.com/images/I/41ZT83grRSL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/414MoSoFuVL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41y4WQ343FL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41IHA+kE2aL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51vdDLEP4GL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41Xfv114qjL._SS522_.jpg']"
B0BZC31Q7S,DAGEDA Store,198.02,,"['https://m.media-amazon.com/images/I/41s63ChRQNL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51ruERhV4BL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51jDHBJKGsL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51FgyRXOgJL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51HbM22QeRL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/418FYvDtiBL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41BQ3eA+5XL._SS522_.jpg']"
B002VECJ66,COVERGIRL Store,14.99,Covergirl,"['https://m.media-amazon.com/images/I/41wXPKkAYuL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/419zyYXAbeL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41zDOF-OEBL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31S7HQb48CL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41wUjJXfu8L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41IDNR8RkkL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/413j1CpW6lL._SS522_.jpg']"
B085P2FFTJ,e.l.f. Store,7.0,e.l.f. Cosmetics,"['https://m.media-amazon.com/images/I/31g47Gz5qbL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31dBafagTOL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31CueFnXjmL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41VNW1iSF4L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41psIYnABnL._SS522_.jpg']"
B0C9QNB5KJ,QIUFSSE Store,6.98,QIUFSSE,"['https://m.media-amazon.com/images/I/514MU8FjDuL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51p7uLxoD1L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61AyB0L3uxL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51D9yyHn+lL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51bRrXO1EpL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/61YDT7Bxs9L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51YRTVsNcSL._SS522_.jpg']"
B09MJB4V1H,TattooFun,7.5,TattooFun,"['https://m.media-amazon.com/images/I/51U5SRBQhiL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51k+PanrGhL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31uATj3VEtL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51wY9iGns-L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/517685-WhzL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41HzhoTxfGL._SS522_.jpg']"
B07GT3Q7XJ,MAYBELLINE,12.99,Maybelline New York,"['https://m.media-amazon.com/images/I/31Oki5WZ0rL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31khFcpZUfL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51vonf1YCEL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51OOS0mOXrL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/514aSg5eICL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41M-qLAtRsL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51V1eITH+rL._SS522_.jpg']"
B00BG14UXK,Milani Store,6.95,Milani (Beauty),"['https://m.media-amazon.com/images/I/31fb-66iHZL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/31wvz5YNDEL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41Z6xgUJJZL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/410PphsMC1L._SS522_.jpg']"
B0BG1STJ21,Boobeen,5.99,Boobeen,"['https://m.media-amazon.com/images/I/41H7nAn9R3L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51++uSdisZL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51aHJ7ptVQL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41klP3KZu2L._SS522_.jpg ', ' https://m.media-amazon.com/images/I/51IfLd-CPIL._SS522_.jpg ', ' https://m.media-amazon.com/images/I/41KQ0HrBUpL._SS522_.jpg']"
